country,director,genre,imdb_rating,title,year
США,Эмметт Олстон,боевик,7.9,9 смертей ниндзя,1985
,Фёдор Бондарчук,"военно - исторический боевик , драма",7.9,9 рота (фильм),2005
Россия,Олег Штром,"биография, драма",7.9,9 секунд,2024
США,Мартин Гиги,драма фильм-катастрофа,,"9/11 (фильм, 2017)",2017
США,Джеми Линден,драма романтическая комедия,7.3,10 лет спустя,2011
Великобритания,Майкл Уинтерботтом,драма мелодрама музыкальный фильм эротика,7.9,9 песен,2004
,Роланд Эммерих,приключенческий боевик,4.4,10 000 лет до нашей эры,"22 февраля 2008 , 6 марта 2008 , 7 марта 2008 , 12 марта 2008 и 14 марта 2008"
США США,Хантер Уикс,Документальное кино,7.3,10 миль в час,2007
Япония,Тосиаки Тоёда,фильм-драма,7.9,9 душ,2003
Франция,Альбер Дюпонтель,комедия,7.9,9 месяцев строгого режима,2013
Великобритания,Лаб Ки Мо,драма комедия,7.9,9 мёртвых геев,2002
США,Майкл Даус,комедия,7.0,8-битное Рождество,2021
Испания,"Перис Романо, Родриго Сорогойен",Романтическая кинокомедия,7.0,8 свиданий,2008
Россия,Авдотья Смирнова Александр Котт Владимир Котт Евгений Лаврентьев Карен Оганесян Максим Пежемский Егор Кончаловский Василий Чигинский,Телеальманах,7.9,9 мая. Личное отношение,2008—2010
Дания,Рони Эзра,"Военный, драма",7.9,9 апреля (фильм),2015
США,Гэри Росс,кинокомедия криминальный фильм,7.0,8 подруг Оушена,2018
,Джоэл Шумахер,триллер криминал,7.0,8 миллиметров,1999
,Сэм Мендес,шпионский фильм,7.1,007: Координаты «Скайфолл»,2012
,Дэвид Додсон Александр Маляревский,"мелодрама , комедия",7.0,8 первых свиданий,2012
,Сэм Мендес,шпионский фильм,7.1,007: Спектр,2015
Испания,Начо Вигалондо,короткометражный музыкальный,7.3,7:35 утра,"21 ноября 2003 , 12 марта 2004 , 17 мая 2009 и 29 октября 2010"
,Франсуа Озон,мюзикл комедия детектив,7.0,8 женщин (фильм),2002
Россия,Григорий Константинопольский,комедийный фильм,6.3,8 ½ $,1999
,Марюс Вайсберг,комедия / мелодрама,7.0,8 лучших свиданий,2016
Парагвай,Хуан Карлос Манелья Тана Шембори,триллер криминал,7.1,7 ящиков,2012
Россия,Владимир Потапов,боевик / драма,7.1,07-й меняет курс,2007
Россия,Айк Кбеян,семейное кино,7.7,"7 дней, 7 ночей",2024
США,Джон Форд,драма,7.1,7 женщин,1966
Великобритания,Саймон Кёртис,драма биография,7.1,7 дней и ночей с Мэрилин,2011
Россия,Вадим Соколовский,комедия мелодрама,7.1,7 главных желаний,2013
,Саймон Феллоуз,боевик,7.1,7 секунд (фильм),28 июня 2005 и 12 сентября 2005
,Себастьян Ниман,драма фильм ужасов триллер,7.1,7 дней до смерти,2000
США,Дж. Блэйксон,постапокалиптика научная фантастика,5.9,5-я волна,2016
,"Эмад Бурнат, Гай Давиди",документальный фильм,5.9,5 разбитых камер,2011
США,Симон Бранд,триллер,5.9,5 неизвестных,2006
Казахстан,Аскар Узабаев,комедийный фильм,5.9,5 причин не влюбиться в казаха,2017
,Тоа Фрейзер,боевик триллер,7.8,6 дней,2017
США,Роджер Споттисвуд,киберпанк,7.8,6-й день,2000
Украина,Алиса Павловская,"драма , триллер , биография",5.9,5 терапия,2017
Франция,Франсуа Озон,мелодрама драма,5.6,5×2,2004
,"Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара","драма, комедия",7.1,4 x 4 (фильм),1965
СССР,Радомир Василевский,комедия,6.9,4:0 в пользу Танечки,1982
США,Абель Феррара,драма фантастика,4.6,4:44. Последний день на Земле,2011
Румыния,Кристиан Мунджиу,психологическая драма,,"4 месяца, 3 недели и 2 дня",2007
США,Спайк Ли,Исторический документальный,7.6,4 маленькие девочки,1997
Россия,Александр Андреев,трагикомедия,5.9,5 недель (фильм),2021
Великобритания,Ноэль Кларк,"электро-хаус , соул , R’n’B , хип-хоп , грайм",,,2010
,Ренни Харлин,"военный боевик , пропагандистский фильм",5.9,5 дней в августе,2011
Франция,Оливье Накаш Эрик Толедано,комедийная драма бадди-муви,7.9,1+1 (фильм),2011
Украина,Иван Гаврилюк Сайдо Курбанов,детектив,7.6,4 листа фанеры,1992
США,Лейф Тильден,драма мелодрама,8.2,1 миля до тебя,2017
,Ахим фон Боррис,военная драма боевик,7.6,4 дня в мае,2011
СССР,Амасий Мартиросян,комедия,8.0,01-99,1959
Великобритания,Питер Гринуэй,"документальный , музыкальный",7.6,4 американских композитора,1983
Австралия,Стив МакКаллум,криминальный,8.2,1 % (фильм),2017
США,Пол Краудер,документальный,8.2,1 (документальный фильм),2013
Франция,Стефан Бризе,драматический фильм,,(Не)бывшие,"8 сентября 2023 , 4 октября 2023 , 20 марта 2024 , 21 марта 2024 , 27 марта 2024 , 28 марта 2024 , 1 мая 2024 и 2 мая 2024"
Великобритания,Питер Дэвисон,"комедийный фильм , кинопародия",,(Почти) пять Докторов: Перезагрузка,
США,Энтони Хайнс Каспер Кристенсен,"романтическая комедия , научно-фантастический фильм и экранизация литературного произведения",,(Не)идеальные роботы,2023
СССР,"Аркадий Кольцатый , Валентин Перов","драма , приключения",6.2,«SOS» над тайгой,1976
Индия,Сенна Хегде,документальный драма комедия,8.9,0-41*,2016
СССР,"Илья Гутман , Иосиф Пастернак","документальный , спорт",,«Спартак». Действующие лица и… болельщики,1985
СССР,Борис Эпштейн,игровое кино,,«Чудотворец» из Бирюлёва,1958
СССР,Леонид Осыка,документально - биографический фильм,,…которого любили все,1982
СССР,Вячеслав Винник,спортивный фильм,,…И прекрасный миг победы,1984
Чехословакия,Яромил Йиреш,"драма, военный",,…и передайте привет ласточкам,1972
Чехословакия,Збынек Брыных,"драма, военный, арт-хаус",,…а пятый всадник — Страх,1965
Индонезия,Ханун Брамантйо,драматический фильм,,? (фильм),7 апреля 2011
,Арам Шахбазян,,,"«Москвич», любовь моя",2015
